match_id,home_xg,away_xg
2122-wolves-leicester,0.472777,1.55048
2122-burnley-tottenham,1.55576,0.691655
2122-watford-crystalpalace,1.71917,0.818403
2122-liverpool-leeds,5.3303,0.141547
2122-arsenal-wolves,2.50961,1.10934
2122-southampton-norwich,3.08863,0.424877
2122-leeds-tottenham,1.89569,2.47025
2122-brentford-newcastle,0.494232,2.25373
2122-crystalpalace-burnley,1.03765,0.255988
2122-manunited-watford,2.41457,0.437185
2122-brighton-astonvilla,0.627107,1.3027
2122-everton-mancity,0.770819,1.93422
2122-westham-wolves,1.62241,0.892018
2122-burnley-leicester,1.04214,1.79558
2122-leicester-leeds,0.359129,2.14389
2122-brighton-liverpool,0.629316,2.48312
2122-leeds-astonvilla,0.194028,1.2729
2122-norwich-chelsea,0.965723,2.1308
2122-southampton-newcastle,1.79835,0.812233
2122-wolves-watford,1.55037,0.498696
2122-tottenham-everton,3.24279,0.208263
2122-southampton-everton,2.72851,0.19991
2122-mancity-manunited,2.74434,0.361782
2122-liverpool-westham,2.18865,1.33829
2122-wolves-crystalpalace,0.710865,2.53759
2122-norwich-brentford,0.77334,2.22064
2122-newcastle-brighton,1.58028,1.64995
2122-burnley-chelsea,0.849232,2.2868
2122-astonvilla-southampton,2.85379,1.32947
2122-watford-arsenal,1.29603,1.00457
2122-brentford-burnley,1.82002,0.825311
2122-liverpool-norwich,3.15449,0.66975
2122-brighton-burnley,0.44587,0.821228
2122-brentford-wolves,0.742573,0.218211
2122-leeds-newcastle,1.12992,1.15904
2122-manunited-westham,1.75857,0.238027
2122-southampton-mancity,1.00222,1.62907
2122-arsenal-burnley,1.35507,0.388963
2122-crystalpalace-liverpool,1.62615,1.49697
2122-leicester-brighton,1.70979,1.19738
2122-chelsea-tottenham,1.04212,0.328818
2122-burnley-watford,0.765905,0.933965
2122-westham-watford,0.905143,0.335474
2122-newcastle-everton,2.68732,0.823607
2122-burnley-manunited,0.772721,1.83387
2122-norwich-crystalpalace,0.296411,1.22883
2122-tottenham-southampton,1.74286,1.73293
2122-mancity-brentford,1.98246,0.461305
2122-astonvilla-leeds,1.5013,2.52914
2122-wolves-arsenal,0.641359,1.45247
2122-astonvilla-watford,1.0267,1.82051
2122-arsenal-brentford,1.52247,0.640726
2122-westham-newcastle,0.847948,0.932574
2122-manunited-brighton,2.74936,1.26179
2122-leicester-westham,1.40693,0.745068
2122-tottenham-wolves,0.838197,1.87026
2122-crystalpalace-chelsea,0.624023,1.12339
2122-newcastle-astonvilla,0.527571,0.455206
2122-norwich-mancity,0.356755,4.44653
2122-watford-brighton,0.532979,1.80456
2122-everton-leeds,2.58561,0.242668
2122-brentford-crystalpalace,1.97576,0.49802
2122-manunited-southampton,2.99207,0.677386
2122-liverpool-leicester,2.72997,0.544954
2122-burnley-liverpool,1.16081,1.95722
2122-manunited-tottenham,1.0181,1.62374
2122-chelsea-newcastle,1.07072,0.246037
2122-everton-wolves,0.397268,0.712135
2122-manunited-norwich,1.66737,1.79754
2122-westham-burnley,2.79175,1.88137
2122-newcastle-leicester,2.54294,0.541084
2122-liverpool-manunited,2.25967,0.110227
2122-everton-leicester,1.68819,0.786333
2122-chelsea-arsenal,0.593801,1.87331
2122-newcastle-crystalpalace,0.767855,0.432788
2122-mancity-brighton,1.52844,0.117354
2122-burnley-southampton,2.14743,1.31837
2122-arsenal-manunited,2.54173,2.04244
2122-norwich-newcastle,0.657661,1.87558
2122-mancity-watford,3.68,0.42632
2122-leicester-astonvilla,0.235635,0.593202
2122-brentford-tottenham,1.3153,0.517755
2122-chelsea-westham,2.34959,0.388975
2122-burnley-wolves,1.27298,0.592902
2122-brighton-southampton,1.87343,0.926764
2122-crystalpalace-watford,2.49142,0.255373
2122-manunited-brentford,1.84111,0.681425
2122-westham-arsenal,0.451976,0.964564
2122-everton-chelsea,1.11712,1.21141
2122-tottenham-leicester,1.65338,0.274133
2122-leeds-mancity,1.03608,3.01431
2122-southampton-arsenal,1.04007,1.35002
2122-astonvilla-norwich,2.31192,0.352212
2122-watford-burnley,0.785742,1.37022
2122-wolves-brighton,0.525912,2.90679
2122-newcastle-liverpool,0.115353,2.73435
2122-manunited-chelsea,0.618456,2.46868
2122-crystalpalace-leeds,1.61656,0.374044
2122-liverpool-everton,1.70397,0.424961
2122-southampton-crystalpalace,0.650256,0.756217
2122-watford-brentford,1.50381,2.12457
2122-tottenham-brighton,0.58624,0.711155
2122-mancity-liverpool,1.34647,1.29983
2122-wolves-astonvilla,1.62151,1.91256
2122-liverpool-watford,2.23651,0.753307
2122-tottenham-westham,2.54795,0.644964
2122-leicester-brentford,1.27865,1.72466
2122-astonvilla-arsenal,0.309375,1.14522
2122-wolves-leeds,1.24075,2.82103
2122-leeds-southampton,1.50715,2.06387
2122-everton-newcastle,0.708809,0.75803
2122-brighton-tottenham,1.04171,2.05196
2122-crystalpalace-mancity,0.474002,2.04021
2122-arsenal-leicester,2.93665,0.54911
2122-westham-astonvilla,1.58468,1.05391
2122-southampton-watford,1.25696,1.29385
2122-leeds-norwich,3.11755,1.40148
2122-arsenal-liverpool,0.534265,1.27681
2122-burnley-astonvilla,1.31028,1.81256
2122-chelsea-brentford,1.29014,2.43422
2122-brighton-norwich,2.38297,0.494112
2122-brentford-westham,1.85534,0.244824
2122-leicester-crystalpalace,0.879235,1.52767
2122-norwich-burnley,1.6723,1.44652
2122-astonvilla-tottenham,1.48712,0.983601
2122-arsenal-brighton,2.35153,0.596106
2122-southampton-chelsea,0.564726,4.39683
2122-burnley-mancity,0.0591223,1.62008
2122-watford-leeds,1.07422,0.895612
2122-newcastle-wolves,1.43878,0.306867
2122-burnley-everton,2.24439,2.31574
2122-crystalpalace-arsenal,1.39707,1.05199
2122-tottenham-newcastle,3.6081,0.538152
2122-westham-everton,1.49657,0.657846
2122-manunited-leicester,0.902127,1.07638
2122-everton-manunited,0.357295,0.762357
2223-leicester-leeds,0.655249,1.19464
2223-nottmforest-liverpool,2.50163,2.19752
2223-everton-crystalpalace,1.93396,0.597167
2223-manunited-brentford,1.1445,0.64499
2223-manunited-everton,4.38578,0.949183
2223-astonvilla-nottmforest,1.42718,0.232452
2223-brentford-newcastle,2.06521,1.02337
2223-fulham-westham,0.456524,1.23261
2223-leicester-bournemouth,0.731965,1.92396
2223-tottenham-brighton,0.594139,1.47549
2223-wolves-chelsea,0.601153,0.815308
2223-southampton-mancity,0.492801,3.05999
2223-leeds-crystalpalace,1.02075,3.22687
2223-liverpool-arsenal,4.64012,1.53631
2223-astonvilla-newcastle,1.91802,0.425086
2223-chelsea-brighton,0.46331,2.52107
2223-everton-fulham,2.24262,1.92209
2223-southampton-crystalpalace,0.678449,0.86306
2223-tottenham-bournemouth,2.30604,1.20598
2223-wolves-brentford,0.93912,1.5133
2223-astonvilla-fulham,0.839159,0.079864
2223-wolves-crystalpalace,1.12829,0.580294
2223-newcastle-tottenham,3.98532,0.883001
2223-bournemouth-westham,0.974687,2.52322
2223-liverpool-nottmforest,3.32745,0.724666
2223-leicester-wolves,2.66929,0.59626
2223-westham-newcastle,0.83342,2.84091
2223-crystalpalace-everton,0.368137,0.433712
2223-fulham-leeds,1.43763,1.07482
2223-arsenal-southampton,2.39609,1.43063
2223-leeds-liverpool,1.16748,2.65476
2223-nottmforest-manunited,1.05289,3.33747
2223-westham-arsenal,1.96095,2.71782
2223-mancity-leicester,1.60702,1.92692
2223-brentford-astonvilla,2.03162,1.66602
2223-leeds-leicester,2.09645,2.08594
2223-chelsea-liverpool,2.18903,0.202217
2223-bournemouth-brighton,1.15322,2.63392
2223-brentford-fulham,2.44358,1.67531
2223-bournemouth-liverpool,1.10128,2.13465
2223-everton-brentford,1.71599,1.95088
2223-leeds-brighton,0.596738,1.51388
2223-leicester-chelsea,2.36139,1.49478
2223-tottenham-nottmforest,1.73482,1.62805
2223-crystalpalace-mancity,0.185498,2.1884
2223-fulham-arsenal,0.61832,2.64355
2223-manunited-southampton,0.910911,1.18053
2223-westham-astonvilla,2.14634,1.99139
2223-newcastle-wolves,2.45527,0.709895
2223-southampton-brentford,0.358977,1.66591
2223-brighton-crystalpalace,0.588727,1.21452
2223-nottmforest-newcastle,0.531985,2.50027
2223-astonvilla-bournemouth,3.45474,0.50014
2223-brentford-leicester,0.476467,1.42133
2223-southampton-tottenham,2.52077,1.88473
2223-leicester-astonvilla,0.671597,1.00159
2223-everton-tottenham,0.823365,1.39177
2223-newcastle-manunited,3.33162,0.334127
2223-westham-southampton,1.40363,0.318261
2223-chelsea-astonvilla,2.38024,0.765794
2223-nottmforest-wolves,1.11441,0.383739
2223-leeds-nottmforest,2.43248,0.613917
2223-crystalpalace-leicester,1.93471,0.198959
2223-bournemouth-fulham,3.14054,0.601049
2223-arsenal-leeds,3.29548,0.497609
2223-mancity-liverpool,3.01243,0.318171
2223-arsenal-crystalpalace,1.53568,1.19194
2223-chelsea-everton,1.90027,1.64675
2223-wolves-leeds,2.76358,1.6549
2223-brighton-brentford,3.8195,1.2788
2223-nottmforest-brighton,2.43846,2.33064
2223-westham-liverpool,0.939348,1.7045
2223-chelsea-brentford,1.21124,0.695344
2223-leicester-liverpool,0.527496,1.77085
2223-newcastle-brighton,4.11359,0.593493
2223-tottenham-brentford,1.61667,1.15344
2223-bournemouth-manunited,0.815723,1.71783
2223-fulham-crystalpalace,1.95519,1.70785
2223-liverpool-astonvilla,0.918508,1.46948
2223-wolves-everton,1.28976,2.46976
2223-nottmforest-arsenal,1.1397,0.4902
2223-westham-leeds,2.48001,0.645828
2223-brighton-southampton,2.41418,0.863659
2223-mancity-chelsea,1.20557,1.15648
2223-newcastle-leicester,2.05089,0.0839072
2223-brighton-mancity,2.11486,1.92973
2223-manunited-chelsea,4.92231,1.68364
2223-arsenal-wolves,3.02466,0.38772
2223-astonvilla-brighton,2.55845,1.23117
2223-brentford-mancity,1.43893,1.18649
2324-newcastle-astonvilla,4.32208,1.486
2324-sheffieldunited-crystalpalace,0.422704,2.27616
2324-everton-fulham,2.59001,1.58144
2324-brighton-luton,4.36748,1.88594
2324-bournemouth-westham,1.51025,1.4834
2324-arsenal-nottmforest,0.84262,0.966305
2223-arsenal-brighton,0.958651,2.21276
2324-burnley-mancity,0.311032,2.40074
2223-manunited-fulham,2.74766,1.88167
2223-leicester-westham,2.03013,0.970352
2223-leeds-tottenham,1.19151,2.03315
2223-everton-bournemouth,1.12933,0.432084
2223-crystalpalace-nottmforest,1.00786,0.436439
2223-chelsea-newcastle,2.01924,1.51899
2223-southampton-liverpool,1.33964,4.00345
2223-everton-mancity,1.18597,1.04338
2223-brentford-westham,4.42571,0.203312
2223-southampton-fulham,0.149649,1.27085
2223-arsenal-chelsea,2.7832,0.785202
2223-leicester-everton,3.32486,3.28648
2223-liverpool-tottenham,2.42911,1.44927
2223-newcastle-southampton,3.91457,0.897175
2223-manunited-astonvilla,1.3056,0.434738
2223-fulham-mancity,0.431813,2.32338
2223-liverpool-fulham,1.67372,0.740125
2223-bournemouth-leeds,2.51723,1.33691
2223-brentford-nottmforest,1.32059,0.939693
2223-crystalpalace-westham,2.31888,1.98262
2223-tottenham-manunited,2.37239,1.96508
2223-southampton-bournemouth,0.477034,0.988554
2223-everton-newcastle,0.777008,2.86368
2223-mancity-arsenal,2.01168,0.398372
2223-brighton-wolves,3.60471,0.603985
2223-liverpool-manunited,3.44269,0.837542
2223-mancity-westham,2.99908,0.492075
2223-bournemouth-chelsea,1.21755,1.76852
2223-manunited-wolves,3.10118,0.268789
2223-crystalpalace-bournemouth,1.40237,0.262022
2223-chelsea-nottmforest,0.999181,1.96797
2223-astonvilla-tottenham,1.79987,1.18505
2223-leeds-newcastle,2.01567,2.35118
2223-nottmforest-southampton,1.91326,3.31096
2223-brighton-manunited,2.09953,1.32105
2223-brighton-everton,3.23717,2.94223
2223-westham-manunited,1.76618,1.1942
2223-newcastle-arsenal,1.37224,1.29061
2223-liverpool-brentford,1.992,0.183892
2223-wolves-astonvilla,0.80605,1.50158
2223-tottenham-crystalpalace,1.15665,0.306669
2223-mancity-leeds,2.83472,0.140924
2223-fulham-leicester,1.75276,2.92566
2223-nottmforest-everton,0.799733,1.70877
2223-southampton-leicester,1.34332,1.67051
2223-wolves-tottenham,0.562477,1.25588
2223-brighton-astonvilla,0.829107,1.15437
2223-fulham-manunited,1.70218,3.37664
2223-brentford-tottenham,2.25263,0.883787
2223-crystalpalace-fulham,0.421754,2.69927
2223-everton-wolves,1.22653,1.22076
2223-leicester-newcastle,0.31099,1.76382
2223-southampton-brighton,1.70709,1.00714
2223-astonvilla-liverpool,1.69155,3.50694
2223-arsenal-westham,1.88828,1.02652
2223-chelsea-bournemouth,1.91378,0.44307
2223-manunited-nottmforest,2.13668,0.477076
2223-leeds-mancity,0.603751,4.16249
2223-westham-brentford,1.13979,1.51436
2223-liverpool-leicester,2.02463,0.863312
2223-wolves-manunited,0.587672,2.44728
2223-bournemouth-crystalpalace,0.895819,1.75264
2223-fulham-southampton,1.49305,0.698711
2223-crystalpalace-tottenham,0.787525,1.66514
2223-astonvilla-wolves,1.03226,0.832522
2223-leeds-westham,1.2577,1.29245
2223-southampton-nottmforest,0.62937,1.22324
2223-manunited-bournemouth,2.97383,0.679022
2223-leicester-fulham,1.45221,1.33493
2223-wolves-arsenal,0.512339,2.27996
2223-everton-brighton,1.16896,2.50731
2223-brentford-liverpool,2.0991,2.10461
2223-nottmforest-chelsea,0.985219,1.37305
2223-tottenham-astonvilla,0.569383,1.21733
2223-brighton-arsenal,1.15663,3.22106
2223-newcastle-leeds,2.78846,0.517099
2223-mancity-everton,2.36333,0.0760019
2223-arsenal-newcastle,0.970637,0.959523
2223-newcastle-chelsea,1.3601,0.359105
2223-westham-leicester,0.720721,1.60566
2223-tottenham-leeds,2.58046,1.71731
2223-newcastle-astonvilla,4.18808,0.270814
2223-crystalpalace-southampton,1.00384,1.35803
2223-brighton-chelsea,2.881,1.07554
2223-brentford-wolves,1.29257,0.557605
2223-bournemouth-tottenham,0.887533,2.1946
2223-leicester-mancity,0.693597,0.703827
2223-fulham-everton,1.76438,1.19166
2223-westham-bournemouth,1.97715,0.730443
2223-wolves-leicester,1.61785,0.989075
2223-southampton-arsenal,0.622653,1.57897
2223-leeds-fulham,1.96384,2.47512
2223-astonvilla-brentford,3.45617,1.00462
2223-chelsea-manunited,1.20238,0.730935
2223-mancity-brighton,1.86239,0.52863
2223-tottenham-newcastle,1.56513,1.1294
2223-chelsea-mancity,0.493576,1.71972
2223-liverpool-leeds,1.90889,1.61271
2223-manunited-westham,1.7514,1.00033
2223-nottmforest-crystalpalace,1.23752,1.14552
2223-liverpool-southampton,2.74418,1.43427
2223-bournemouth-everton,2.45642,0.768756
2223-mancity-brentford,1.605,3.29012
2223-tottenham-liverpool,1.81736,1.46548
2223-westham-crystalpalace,0.192579,1.03344
2223-arsenal-nottmforest,3.00699,0.206127
2223-southampton-newcastle,1.65228,1.42101
2223-chelsea-arsenal,0.278815,2.37846
2223-everton-leicester,1.3729,2.2679
2223-wolves-brighton,1.29252,1.87375
2223-nottmforest-brentford,1.29696,1.2204
2223-mancity-fulham,2.39332,0.843884
2223-leeds-bournemouth,2.22532,1.55594
2223-astonvilla-manunited,0.578563,0.517189
2122-everton-astonvilla,1.2384,0.860245
2223-fulham-chelsea,0.711266,2.39911
2223-manunited-mancity,1.98228,0.73695
2223-southampton-wolves,1.30203,0.615651
2223-bournemouth-newcastle,1.54458,1.54853
2223-leeds-manunited,1.89163,1.30375
2223-mancity-astonvilla,3.60987,0.275348
2223-liverpool-everton,2.23291,0.402331
2223-arsenal-mancity,1.70139,2.00841
2223-astonvilla-arsenal,0.335752,2.85981
2223-brentford-crystalpalace,0.610105,1.12202
2223-brighton-fulham,2.71375,0.224214
2223-chelsea-southampton,1.61723,0.619532
2223-everton-leeds,1.53811,0.597403
2223-nottmforest-mancity,1.12735,2.80966
2223-wolves-bournemouth,0.911415,1.15274
2223-newcastle-liverpool,1.74852,2.16549
2223-manunited-leicester,4.24663,1.39678
2223-tottenham-westham,1.43042,0.365173
2223-fulham-wolves,0.913133,0.997097
2223-chelsea-leeds,1.8678,0.633995
2223-brighton-westham,3.49993,0.250045
2223-astonvilla-crystalpalace,0.890605,0.152761
2223-arsenal-bournemouth,2.46279,1.74267
2223-mancity-newcastle,1.34144,0.359809
2223-arsenal-everton,3.06919,1.604
2223-leicester-tottenham,1.41208,1.11709
2223-liverpool-wolves,2.70191,0.78681
2223-crystalpalace-liverpool,0.989086,1.35123
2223-bournemouth-mancity,1.08527,2.98206
2223-westham-nottmforest,3.05032,0.350849
2223-leicester-arsenal,0.0203463,0.722059
2223-leeds-southampton,0.720048,0.391128
2223-everton-astonvilla,1.54109,2.06037
2223-tottenham-chelsea,0.926313,0.262281
2223-fulham-nottmforest,1.69704,0.686824
2223-crystalpalace-brighton,0.928279,2.64981
2223-arsenal-brentford,1.36738,2.17538
2223-southampton-astonvilla,0.672444,1.16432
2223-leicester-brighton,1.35941,1.94491
2223-bournemouth-nottmforest,1.80549,1.57544
2223-liverpool-chelsea,1.30125,1.84467
2223-mancity-tottenham,2.34166,1.16499
2223-crystalpalace-manunited,0.413339,1.39437
2223-westham-everton,2.46879,0.286826
2223-tottenham-arsenal,1.71032,2.04232
2223-chelsea-crystalpalace,2.12987,0.837366
